Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
J. Barreto,José Barreto,61,750000,ST,ST,Argentina,22,Patronato
A. Singh,Amrinder Singh,61,275000,GK,GK,India,29,Odisha FC
L. Egloff,Lilian Egloff,61,850000,"CAM,CF",CAM,Germany,19,VfB Stuttgart
V. Garofalo,Vincenzo Garofalo,61,675000,CM,CAM,Italy,22,Brescia
D. Rivas,Daniel Rivas,61,675000,LB,LB,Paraguay,20,Club Cerro Porteño
J. Affamah,Joe-Loïc Affamah,61,800000,ST,ST,France,20,FC Nantes
N. Karić,Nermin Karić,61,475000,CM,CM,Sweden,22,Benevento
M. Gallegos,Matías Gallegos,61,450000,ST,ST,Argentina,25,Unión de Santa Fe
U. Bertelli,Ugo Bertelli,61,750000,CM,CM,France,18,Olympique de Marseille
S. Mischitz,Samuel Mischitz,61,725000,"RWB,RB",RWB,Austria,18,SC Rheindorf Altach
D. Lafferty,Daniel Lafferty,61,170000,"LWB,LB,LM",LWB,Northern Ireland,33,Derry City
T. Silva,Tomás Silva,61,750000,"LB,LWB",LB,Argentina,19,San Lorenzo de Almagro
Zhang Jiaqi,Jiaqi Zhang,61,275000,"CDM,CM",CDM,China PR,30,Zhejiang Professional FC
C. Tucaliuc,Cosmin Tucaliuc,61,525000,"CAM,LW",LM,Romania,22,Petrolul Ploiești
T. Tamas,Thibault Tamas,61,775000,LB,LB,France,21,Montpellier Hérault SC
D. Isac,Damian Isac,61,725000,"CM,CDM",CAM,Romania,21,AFC UTA Arad
S. Hart,Sam Hart,61,350000,LB,LB,England,25,Sutton United
S. Robertson,Scott Robertson,61,775000,"CM,CDM",CAM,Scotland,20,Celtic
S. Abdulai,Sabit Abdulai,61,675000,"CDM,CM,CB",CDM,Ghana,23,SD Ponferradina
M. Kenlock,Myles Kenlock,61,350000,LB,CB,England,25,Barrow
J. Waite,James Waite,61,500000,CAM,CAM,Wales,23,Newport County
C. Shields,Connor Shields,61,475000,"ST,LM,RM",RM,Scotland,24,Motherwell
H. Hevel,Hector Hevel,61,425000,"CAM,RM,CM",CAM,Netherlands,26,FC Andorra
N. Naujoks,Noah Naujoks,61,800000,"CAM,CM,ST",ST,Netherlands,20,Feyenoord
J. Nelson,John Nelson,61,475000,"LB,LWB",LB,United States,23,FC Cincinnati
B. Palacios,Brahian Palacios,61,775000,RM,CAM,Colombia,19,Atlético Nacional
P. Ayala,Pablo Ayala,61,375000,"CM,CDM",CAM,Paraguay,27,Guaireña FC
A. Kajević,Asmir Kajević,61,250000,"CM,CAM",CM,Montenegro,32,Wuhan FC
D. Steininger,Daniel Steininger,61,350000,"ST,RM,LM",ST,Germany,27,SpVgg Bayreuth
Y. Maart,Yusuf Maart,61,375000,"CM,CAM",CAM,South Africa,26,Kaizer Chiefs
J. Tånnander,Jakob Tånnander,61,700000,GK,GK,Sweden,21,HJK Helsinki
L. Sulzbacher,Lukas Sulzbacher,61,700000,"RB,RWB",RB,Austria,22,WSG Tirol
E. Krasniqi,Erolind Krasniqi,61,525000,CAM,CAM,Kosovo,22,Rot-Weiß Essen
F. Waleed,Falah Waleed,61,675000,CDM,CDM,United Arab Emirates,23,Al Ain FC
S. Mohamed,Shayr Mohamed,61,725000,"CAM,CM,RM",CAM,Mexico,22,Arsenal de Sarandí
E. Gedikli,Emrehan Gedikli,61,775000,ST,ST,Germany,19,Trabzonspor
K. Opseth,Kristian Opseth,61,275000,ST,ST,Norway,32,Sarpsborg 08 FF
J. Stroud,Jared Stroud,61,400000,"RM,LM",RM,United States,25,Austin FC
S. Cissé,Souleymane Cissé,61,325000,"CM,CDM",CM,Senegal,30,Grenoble Foot 38
G. Balzi,Guillermo Balzi,61,775000,CM,CAM,Argentina,20,Newell's Old Boys
A. Lastra,Agustín Lastra,61,650000,GK,GK,Argentina,21,Club Atlético Aldosivi
Hwang Mun Ki,Mun Ki Hwang,61,475000,"CM,RW",RM,Korea Republic,25,Gangwon FC
L. Krüger,Lukas Krüger,61,750000,"ST,LM",ST,Germany,22,FSV Zwickau
M. Natta,Mark Natta,61,650000,CB,CB,Australia,19,Newcastle Jets
P. Treu,Philipp Treu,61,525000,"RM,RB",RM,Germany,21,SC Freiburg II
S. Jaurena,Sebastián Jaurena,61,525000,CM,CAM,Argentina,22,Unión de Santa Fe
G. Dahl,Gustav Dahl,61,400000,LB,LWB,Denmark,26,Silkeborg IF
R. Arnold,Remo Arnold,61,425000,"CDM,CB",CB,Switzerland,25,FC Winterthur
E. Gebreyesus,Esey Gebreyesus,61,750000,"RW,RM",RM,Switzerland,18,Olympique de Marseille
I. El Maach,Issam El Maach,61,650000,GK,GK,Morocco,22,FC Twente
J. de Vries,Jack de Vries,61,800000,"RW,ST",LW,United States,20,Venezia FC
O. Acosta,Onel Acosta,61,700000,LB,LB,Colombia,22,Deportivo Cali
A. Pressley,Aaron Pressley,61,800000,ST,ST,Scotland,20,Brentford
A. Smith,Alistair Smith,61,500000,CM,CAM,England,23,Sutton United
Y. Ayari,Yasin Ayari,61,825000,CM,CAM,Sweden,18,AIK
M. Tounkara,Mamadou Tounkara,61,750000,CB,CB,France,20,Vitória de Guimarães
K. Ward,Keith Ward,61,275000,"CAM,LM",CAM,Republic of Ireland,31,Dundalk FC
F. Rawson,Farrend Rawson,61,375000,CB,CB,England,25,Morecambe
M. Ehmer,Max Ehmer,61,275000,CB,CB,Germany,30,Gillingham
E. Bristow,Ethan Bristow,61,675000,"LB,LWB,LM",LB,England,20,Tranmere Rovers
R. Nartey,Richard Nartey,61,600000,"CB,RB",CB,England,23,Salford City
R. Vucic,Romeo Vucic,61,775000,ST,ST,Austria,19,FK Austria Wien
O. Beck,Owen Beck,61,825000,"LWB,LB",LWB,Wales,19,Bolton Wanderers
J. Roche,Jamie Roche,61,700000,"CB,CDM",CDM,Sweden,21,IK Sirius
M. Skenderović,Meris Skenderović,61,675000,ST,ST,Montenegro,24,TSV 1860 München
S. Al Hamsal,Saeed Al Hamsal,61,400000,"RB,RWB,CB",RB,Saudi Arabia,26,Abha Club
H. Muñoz,Hernán Muñoz,61,110000,GK,GK,Chile,33,Deportivo Ñublense
S. Quigley,Scott Quigley,61,325000,ST,ST,England,29,Rochdale
W. Kokolo,William Kokolo,61,700000,"LWB,LB",LWB,France,22,Burton Albion
L. Dobbin,Lewis Dobbin,61,775000,"RM,CAM,ST",ST,England,19,Derby County
C. Abastoflor,Carlos Mateo Abastoflor,61,850000,LM,RM,Bolivia,20,Club Deportivo Guabirá
L. Montero,Luis Montero,61,725000,RM,RM,Bolivia,22,Club Deportivo Guabirá
S. Roux,Storm Roux,61,300000,RB,RB,New Zealand,29,Central Coast Mariners
A. Al Khatib,Abdullah Al Khatib,61,350000,"CB,LB",CB,Saudi Arabia,27,Ettifaq FC
J. Clisby,Jack Clisby,61,275000,"LB,LM",LB,Australia,30,Perth Glory
A. Kurdi,Amir Kurdi,61,275000,RB,RB,Saudi Arabia,30,Al Wehda
F. Senghor,Faustin Senghor,61,325000,"CB,RB,CDM",CB,Senegal,28,GZT Giresunspor
T. Bloxham,Tom Bloxham,61,825000,ST,ST,England,18,Shrewsbury Town
Wang Ziming,Ziming Wang,61,450000,ST,ST,China PR,25,Beijing Guoan FC
D. Gassama,Djeidi Gassama,61,825000,LW,LW,Mauritania,18,KAS Eupen
L. Bürger,Leon Bürger,61,725000,"CM,CAM",CAM,Germany,22,Sportclub Verl
J. Hawkins,Jalen Hawkins,61,800000,"RW,LM,CM",RM,United States,21,FC Ingolstadt 04
N. Sauter,Niklas Sauter,61,675000,GK,GK,Germany,19,SC Freiburg II
S. Karweina,Sinan Karweina,61,475000,"CAM,ST,RM",ST,Germany,23,SK Austria Klagenfurt
R. Hutton,Remeao Hutton,61,400000,"RB,RWB",RB,England,23,Swindon Town
J. Vojtuš,Jakub Vojtuš,61,325000,ST,ST,Slovakia,28,Rapid București
D. Kruse,David Kruse,61,775000,CM,CAM,Denmark,20,AC Horsens
B. Radulović,Bojan Radulović,61,675000,ST,ST,Serbia,22,HJK Helsinki
L. Freestone,Lewis Freestone,61,700000,"CB,LWB",CB,England,22,Cheltenham Town
Yang Shiyuan,Shiyuan Yang,61,325000,"CDM,CM",RB,China PR,28,Shanghai Port FC
Feng Zhuoyi,Zhuoyi Feng,61,200000,CM,CDM,China PR,33,Chengdu Rongcheng F.C.
S. Tengstedt,Søren Tengstedt,61,750000,"ST,RM",ST,Denmark,22,Silkeborg IF
Park Dae Won,Dae Won Park,61,675000,"CB,LB",CB,Korea Republic,24,Suwon Samsung Bluewings
A. Bjarnason,Aron Bjarnason,61,350000,"RW,RWB",RW,Iceland,26,IK Sirius
A. Pawlak,Aleksander Pawlak,61,675000,"RB,RM",RB,Poland,20,Wisła Płock
L. Günther,Lasse Günther,61,850000,"RM,CF",ST,Germany,19,SSV Jahn Regensburg
O. Pohlmann,Ole Pohlmann,61,725000,"LM,ST",RM,Germany,21,Borussia Dortmund II
J. Evan's,Jean Lambert Evan's,61,725000,"LM,LB",LM,France,23,Pau FC
M. Taylor,Max Taylor,61,700000,CB,CB,England,22,Rochdale
R. Hernández,Ricardo Hernández,61,525000,CM,CAM,Venezuela,21,Metropolitanos de Caracas FC
L. Galarza,Lucas Galarza,61,650000,GK,GK,Paraguay,21,Club Always Ready
J. von Moos,Julian von Moos,61,800000,"RW,ST,CAM",ST,Switzerland,21,FC St. Gallen 1879
Park Soo Il,Soo Il Park,61,400000,"LWB,LM",RM,Korea Republic,26,Seongnam FC
A. Lewis,Adam Lewis,61,450000,"LWB,LB",LWB,England,22,Newport County
B. Hvidt,Benjamin Hvidt,61,725000,"CM,CDM",CDM,Denmark,22,Aarhus GF
W. Jääskeläinen,Will Jääskeläinen,61,425000,GK,GK,Finland,23,AFC Wimbledon
K. Mouanga,Kevin Mouanga,61,700000,CB,CB,France,21,FC Annecy
J. Stevens,Jordan Stevens,61,725000,"CM,RW",RM,England,22,Barrow
S. Van Dessel,Stan Van Dessel,61,725000,"CM,CAM,LM",RM,Belgium,20,Sint-Truidense VV
R. Macek,Roman Macek,61,425000,"CM,CAM",CAM,Czech Republic,25,FC Lugano
M. Wolfe,Matty Wolfe,61,700000,"CDM,CM",CDM,England,22,Barnsley
L. Barr,Lachlan Barr,61,325000,CB,CB,Australia,27,Adelaide United
L. Fernández,Luciano Fernández,61,750000,RB,RB,Uruguay,20,Club Atlético Peñarol
M. Mokrzycki,Michał Mokrzycki,61,675000,CDM,CDM,Poland,24,Wisła Płock
J. Turner,Jake Turner,61,625000,GK,GK,England,23,Gillingham
F. Valencia,Fredy Valencia,61,675000,CDM,CB,Colombia,20,LASK Linz
F. Genç,Faruk Can Genç,61,700000,LB,LB,Turkey,22,GZT Giresunspor
A. Ementa,Anosike Ementa,61,800000,ST,ST,Denmark,20,Aalborg BK
F. Gmeiner,Fabian Gmeiner,61,450000,"RB,LB",RB,Austria,25,Austria Lustenau
C. Casap,Carlo Casap,61,525000,CM,CAM,Romania,23,FC Farul Constanța
B. Aburto,Baruj Aburto,61,650000,ST,ST,Peru,20,Sport Boys
F. Tebo Uchenna,Franklin Tebo Uchenna,61,700000,CB,CB,Nigeria,22,BK Häcken
A. Smith,Adam Smith,61,220000,GK,GK,England,29,Morecambe
Imanol Baz,Imanol Baz Berganza,61,700000,CB,CB,Spain,21,Deportivo Alavés
X. Simons,Xavier Simons,61,800000,"CDM,CM,RB",CB,England,19,Hull City
R. Hepburn-Murphy,Rushian Hepburn-Murphy,61,525000,ST,ST,England,23,Swindon Town
D. Savić,Dragoljub Savić,61,725000,"LM,RM",CAM,Serbia,21,SK Rapid Wien
I. Hamache,Ilyes Hamache,61,775000,"LM,RM",CAM,France,19,Valenciennes FC
B. Maher,Brian Maher,61,650000,GK,GK,Republic of Ireland,21,Derry City
S. Sherring,Sam Sherring,61,700000,CB,CB,England,22,Northampton Town
K. Etta Eyong,Karl Edouard Etta Eyong,61,725000,"CDM,CM",CB,Cameroon,18,Cádiz CF
S. Tekerci,Sinan Tekerci,61,325000,"LM,RM,LB",LM,Turkey,28,SV Elversberg
Y. Subaşı,Yasir Subaşı,61,400000,LB,LB,Turkey,26,İttifak Holding Konyaspor
J. Lennon,Jamie Lennon,61,450000,"CM,CDM",CM,Republic of Ireland,24,St. Patrick's Athletic
S. Doucouré,Siriné Doucouré,61,800000,ST,ST,France,20,FC Lorient
T. Romero,Tomás Romero,61,650000,GK,GK,El Salvador,21,Los Angeles FC
F. Herrera,Franco Herrera,61,675000,GK,GK,Argentina,18,Newell's Old Boys
A. Greive,Alex Greive,61,500000,ST,ST,New Zealand,23,St. Mirren
R. Ibarra,Rommell Ibarra,61,700000,"CDM,CM,RB",RM,Venezuela,22,Deportivo La Guaira FC
O. Erdogan,Okan Erdogan,61,675000,"CB,CDM",CB,Germany,23,İstanbulspor
E. Célestine,Enzo Célestine,61,500000,ST,ST,France,24,Campionii FC Arges
M. Karbstein,Malte Karbstein,61,450000,CB,CB,Germany,24,SV Waldhof Mannheim 07
M. Sitti,Melvin Sitti,61,700000,"CDM,CM",CDM,France,22,FC Annecy
B. Warland,Ben Warland,61,375000,CB,CB,Australia,25,Adelaide United
M. Bu Sanda,Mohammed Bu Sanda,61,325000,GK,GK,United Arab Emirates,27,Al Ain FC
E. Holt,Erik Holt,61,425000,CB,CB,United States,25,Real Salt Lake
N. Shamoun,Noah Shamoun,61,775000,"CF,LW",CAM,Sweden,19,Kalmar FF
R. Labonne,Ronny Labonne,61,450000,RB,RWB,France,24,Nîmes Olympique
J. Labadie,Joss Labadie,61,275000,"CM,CDM",CDM,England,31,Walsall
S. Tijani,Samson Okikiola Tijani,61,750000,"CDM,CM",RWB,Nigeria,20,FC Red Bull Salzburg
R. Elongo-Yombo,Rodney Elongo-Yombo,61,725000,"LM,RM,ST",RM,Germany,20,Borussia Dortmund II
J. Fazzini,Jacopo Fazzini,61,850000,CM,CM,Italy,19,Empoli
D. Morgan,David Morgan,61,350000,"CM,CDM",CDM,Northern Ireland,27,Accrington Stanley
D. Mboumbouni,Dylan Mboumbouni,61,425000,CB,CB,Central African Republic,26,FK Jerv
R. McArdle,Rory McArdle,61,90000,CB,CB,Northern Ireland,35,Harrogate Town
J. Hettwer,Julian Hettwer,61,725000,"ST,RM",RM,Germany,19,MSV Duisburg
Joseda,José David Menargues,61,675000,"RB,CB",CDM,Spain,20,Valencia CF
D. Stensson,Daniel Stensson,61,600000,"CDM,CM",CDM,Sweden,25,IK Sirius
O. Finney,Oliver Finney,61,525000,CM,CAM,England,24,Crewe Alexandra
M. Pompetti,Marco Pompetti,61,725000,"CM,CDM",CAM,Italy,22,Südtirol
A. Sotona,Ayodeji Sotona,61,775000,LM,LM,Republic of Ireland,19,Kilmarnock
S. Gussiås,Sivert Gussiås,61,675000,ST,ST,Norway,22,Sandefjord Fotball
R. Koczor,Raphael Koczor,61,110000,GK,GK,Germany,33,Rot-Weiß Essen
J. Lima,Jonathan Lima,61,625000,GK,GK,Uruguay,23,Club Atlético Peñarol
J. Sierra,José Luis Sierra,61,400000,ST,ST,Chile,25,Unión Española
Ó. Zambrano,Óscar Zambrano,61,725000,"CDM,CM",CM,Ecuador,18,LDU Quito
Shin Hyung Min,Hyung Min Shin,61,90000,"CDM,CM",CDM,Korea Republic,35,Ulsan Hyundai FC
L. Chambers,Luke Chambers,61,60000,CB,CB,England,36,Colchester United
S. Sané,Sidi Sané,61,850000,RM,RM,Germany,19,FC Schalke 04
R. Sánchez,Richard Sánchez,61,250000,GK,GK,Mexico,28,LA Galaxy
G. Mogensen,Gustav Mogensen,61,750000,ST,ST,Denmark,21,Sarpsborg 08 FF
B. Nsimba,Bruny Nsimba,61,675000,"ST,CF",RW,Belgium,22,Royal Antwerp FC
R. Schifferl,Raphael Schifferl,61,625000,CB,CB,Austria,22,RZ Pellets Wolfsberger AC
I. Gurău,Ionuț Gurău,61,625000,GK,GK,Romania,23,FC U Craiova 1948
M. Gonçalves,Michael Gonçalves,61,350000,"RB,LB",RB,Switzerland,27,FC Winterthur
M. Shabani,Meritan Shabani,61,525000,CAM,CAM,Germany,23,Grasshopper Club Zürich
L. Jastremski,Lenn Jastremski,61,750000,ST,ST,Germany,21,FC Erzgebirge Aue
S. Toloza,Santiago Toloza,61,775000,"CAM,CM",CAM,Argentina,19,Club Atlético Talleres
P. Ba,Pape Meissa Ba,61,475000,ST,ST,Senegal,24,Grenoble Foot 38
Dudu,Eduardo Dos Santos Haesler,61,550000,GK,GK,Germany,23,SV Werder Bremen
Benny,Bernardo Gouveia da Silva,61,775000,"CDM,CB",CDM,Portugal,21,Futebol Clube de Famalicão
K. Larson,Karl Larson,61,275000,"RWB,CB",RWB,Sweden,30,IK Sirius
Lee Ji Hoon,Ji Hoon Lee,61,300000,"RB,LWB",RB,Korea Republic,28,Seongnam FC
J. Barinaga,Juan Pablo Barinaga,61,725000,"CM,CAM",CAM,Argentina,22,Patronato
C. Lang,Christoph Lang,61,725000,"CAM,ST",CAM,Austria,20,SK Sturm Graz
S. Power,Simon Power,61,425000,RM,RM,Republic of Ireland,24,Shamrock Rovers
S. Silvera,Samuel Silvera,61,800000,"CAM,ST",CAM,Australia,21,Central Coast Mariners
J. Haliti,Jetmir Haliti,61,400000,CB,RB,Sweden,25,Mjällby AIF
Manu Rico,Manuel Rico Del Valle,61,775000,"LM,ST",LM,Spain,19,SD Huesca
F. Seriki,Femi Seriki,61,750000,RWB,RWB,England,20,Rochdale
B. Meredith,Bryan Meredith,61,160000,GK,GK,United States,32,Nashville SC
C. Jennings,Connor Jennings,61,325000,ST,RW,England,30,Stockport County
D. Balauru,Dragoș Balauru,61,160000,GK,GK,Romania,32,AFC UTA Arad
D. Franchi,Denis Franchi,61,675000,GK,GK,Italy,19,Burnley
A. Kamardin,Aaron Kamardin,61,425000,CB,CB,Comoros,20,Olympique de Marseille
P. Silfwer,Pontus Silfwer,61,325000,CM,CM,Sweden,30,GIF Sundsvall
D. Nlundulu,Dan Nlundulu,61,675000,ST,ST,England,23,Cheltenham Town
K. Hajrizi,Kreshnik Hajrizi,61,600000,"CB,RB",CB,Kosovo,23,FC Lugano
Kim Joo Won,Joo Won Kim,61,275000,"CB,RB",CB,Korea Republic,30,Jeju United FC
A. Aidonis,Antonis Aidonis,61,700000,"CB,RB",CB,Germany,21,VfB Stuttgart
B. Viunnyk,Bogdan Viunnyk,61,875000,ST,ST,Ukraine,20,FC Zürich
M. Fuseini,Mohammed Gadafi Fuseini,61,800000,"RM,LM,ST",RM,Ghana,20,SK Sturm Graz
M. Pepić,Mirnes Pepić,61,425000,"CM,CDM,CAM",RM,Montenegro,26,SV Meppen
J. Brattberg,Johan Brattberg,61,375000,GK,GK,Sweden,25,BK Häcken
E. Guerrero,Enzo Guerrero,61,220000,"CB,CDM",CB,Chile,31,Deportivo Ñublense
Park Min Gyu,Min Gyu Park,61,350000,"LB,LWB",LB,Korea Republic,26,Suwon FC
Pablo Pérez,Pablo Pérez Rico,61,750000,"LB,LW",LB,Spain,20,Sevilla FC
L. Qamili,Lirim Qamili,61,500000,ST,ST,Albania,24,AC Horsens
G. Materan,Gregory Materan,61,500000,"RM,ST,RW",LM,Venezuela,24,Estudiantes de Mérida
R. Kamber,Robin Kamber,61,425000,"CM,CDM",CM,Switzerland,26,Górnik Zabrze
H. Burgoyne,Harry Burgoyne,61,325000,GK,GK,England,25,Shrewsbury Town
F. Bareiro,Francisco Bareiro,61,750000,ST,ST,Paraguay,22,Metropolitanos de Caracas FC
J. Tchamadeu,Junior Tchamadeu,61,650000,RB,RB,England,18,Colchester United
S. May,Stevie May,61,325000,ST,ST,Scotland,29,St. Johnstone FC
R. Gall,Romain Gall,61,350000,LW,LW,United States,27,Malmö FF
J. Osabutey,Jonah Osabutey,61,525000,"ST,RW",ST,Ghana,23,KV Kortrijk
J. Bowery,Jordan Bowery,61,325000,"ST,LW",ST,England,30,Mansfield Town
E. Yeboah,Emmanuel Yeboah,61,775000,"RW,ST",RM,Ghana,19,CFR Cluj
S. Bennett,Scot Bennett,61,230000,CDM,CB,England,31,Newport County
J. Breum,Jakob Breum,61,825000,"RW,LW",CAM,Denmark,18,Odense Boldklub
F. Momoh,Francis Momoh,61,750000,"ST,LW",ST,Nigeria,21,Grasshopper Club Zürich
H. Adelakun,Hakeeb Adelakun,61,375000,"RW,LM",RM,England,26,Gillingham
F. Asllani,Fisnik Asllani,61,775000,ST,ST,Germany,19,TSG Hoffenheim
Cheng Yuelei,Yuelei Cheng,61,60000,GK,GK,China PR,34,Guangzhou City
J. Murphy,Joe Murphy,61,35000,GK,GK,Republic of Ireland,40,Tranmere Rovers
C. Saydee,Christian Saydee,61,725000,ST,ST,England,20,Shrewsbury Town
G. Kobylak,Gabriel Kobylak,61,700000,GK,GK,Poland,20,Radomiak Radom
Barbu,Alejandro Barbudo Lorenzo,61,625000,CB,CB,Spain,21,CD Mirandés
F. Şanlıtürk,Fatih Yiğit Şanlıtürk,61,775000,"CM,CAM",CAM,Turkey,19,Ümraniyespor
Kike Salas,Enrique Jesús Salas Valiente,61,800000,CB,CB,Spain,20,Sevilla FC
K. Joseph,Kyle Joseph,61,800000,ST,ST,Scotland,20,Oxford United
E. Dueñas,Enrico Dueñas,61,725000,"CAM,ST",CAM,El Salvador,21,FC Cartagena
A. Danek,Adrian Danek,61,325000,RB,RB,Poland,27,Korona Kielce
Julen Jon,Julen Jon Guerrero Landabaso,61,1000000,"CAM,CM,ST",CAM,Spain,18,Real Madrid CF
V. Hakhamaneshi,Vafa Hakhamaneshi,61,220000,CB,CB,Iran,31,Chennaiyin FC
S. Maderer,Stefan Maderer,61,450000,"ST,CAM",ST,Germany,25,SpVgg Bayreuth
A. Al Bishi,Awn Al Bishi,61,675000,CB,CB,Saudi Arabia,23,Al Taawoun
C. Alexander,Cheye Alexander,61,325000,RB,RB,England,27,Gillingham
D. Martínez,Derlis Martínez,61,725000,LM,LM,Paraguay,22,General Caballero (JLM)
K. Yengi,Kusini Yengi,61,475000,ST,ST,Australia,23,Western Sydney Wanderers
A. Stone,Aidan Stone,61,425000,GK,GK,England,22,Port Vale
Lee Tae Suk,Tae Suk Lee,61,750000,LB,LWB,Korea Republic,19,FC Seoul
A. Sampers,Aske Sampers,61,750000,ST,ST,Belgium,21,KSV Cercle Brugge
C. McFadzean,Callum McFadzean,61,300000,LWB,LWB,Scotland,28,Wrexham AFC
T. Gomez,Tomas Gomez,61,275000,GK,GK,United States,29,Real Salt Lake
J. Olowu,Joseph Olowu,61,475000,CB,CB,England,22,Doncaster Rovers
David Argüelles,David Argüelles Álvarez,61,750000,LB,LB,Spain,20,Real Sporting de Gijón
A. Salama,Amine Salama,61,750000,ST,ST,France,21,Angers SCO
Zhang Chong,Chong Zhang,61,60000,GK,GK,China PR,34,Dalian Professional Football Club
J. Ramírez,Jeizon Ramírez,61,800000,RM,RM,Venezuela,21,Deportivo Táchira FC
M. Diongue,Maguette Diongue,61,275000,"CDM,CM",CF,France,30,SC Bastia
T. Leigh,Tommy Leigh,61,725000,"CM,CAM",CM,England,22,Accrington Stanley
S. Flinders,Scott Flinders,61,35000,GK,GK,England,36,Mansfield Town
Jin Yangyang,Yangyang Jin,61,275000,CB,CB,China PR,29,Shanghai Shenhua FC
V. Gembalies,Vincent Gembalies,61,625000,CB,CB,Germany,22,MSV Duisburg
L. McCarron,Liam McCarron,61,775000,"LWB,LB,LM",LM,Scotland,21,Port Vale
J. Turi,Julian Turi,61,675000,CB,CB,Austria,20,SV Ried
L. Rieß,Lasse Rieß,61,700000,GK,GK,Germany,20,1. FSV Mainz 05
R. Gaffney,Rory Gaffney,61,275000,ST,ST,Republic of Ireland,32,Shamrock Rovers
Zheng Zhiyun,Zhiyun Zheng,61,350000,LB,LM,China PR,27,Changchun Yatai FC
E. Iandolo,Ellis Iandolo,61,450000,"CM,LB,LWB",LM,England,24,Swindon Town
M. Oxley,Mark Oxley,61,170000,GK,GK,England,31,Harrogate Town
R. Ascone,Rocco Ascone,61,750000,CM,CAM,France,18,FC Nordsjælland
W. Amey,Wisdom Amey,61,850000,CB,CB,Italy,16,Bologna
D. Armstrong,Daniel Armstrong,61,475000,"LM,RM",LM,Scotland,24,Kilmarnock
H. Holgate,Harrison Holgate,61,475000,CB,CB,England,22,Fleetwood Town
Z. Swanson,Zak Swanson,61,700000,"RB,CB",RB,England,21,Portsmouth
A. Hausch,Agustin Hausch,61,850000,"ST,LW",RW,Argentina,19,San Lorenzo de Almagro
A. Mörfelt,Albin Mörfelt,61,525000,RW,CAM,Sweden,22,Degerfors IF
A. Askar,Amin Askar,61,70000,"LB,RB,LM",RW,Ethiopia,36,Kristiansund BK
S. Grubač,Sergej Grubač,61,675000,ST,ST,Montenegro,22,AFC Chindia Târgoviște
T. Ángel,Tomás Ángel,61,850000,ST,ST,Colombia,19,Atlético Nacional
W. Asprilla,Weibmar Asprilla,61,550000,GK,GK,Colombia,23,Independiente Medellín
S. Benchamma,Samy Benchamma,61,700000,"CDM,CM",RM,France,22,Chamois Niortais Football Club
N. Monzango,Nathan Monzango,61,700000,"CB,LB",CB,Congo DR,21,Pau FC
A. Konaté,Ateef Konaté,61,800000,"CAM,LW",CAM,France,21,Nottingham Forest
P. König,Phillip König,61,750000,ST,ST,Germany,22,MSV Duisburg
K. Riis,Kristian Dirks Riis,61,425000,CB,CB,Denmark,25,Lyngby BK
N. Freeman,Nick Freeman,61,375000,"LW,CM",CAM,England,26,Wycombe Wanderers
I. Hutchinson,Isaac Hutchinson,61,525000,CM,RM,England,22,Walsall
Nacho Martín,Ignacio Martín Gómez,61,675000,CDM,CM,Spain,20,Real Sporting de Gijón
J. Bångsbo,Johan Bångsbo,61,725000,CB,CB,Sweden,19,IFK Göteborg
J. Persson,Joel Persson,61,775000,ST,ST,Sweden,19,Lecce
J. Eastwood,Jake Eastwood,61,375000,GK,GK,England,25,Ross County FC
C. Timmins,Callum Timmins,61,675000,"CM,CDM",CM,Australia,22,Newcastle Jets
D. Collander,Dennis Collander,61,800000,"RW,CM",RWB,Sweden,20,Hammarby IF
Fábio Tavares,Fábio André Tavares Desidério,61,800000,ST,ST,Portugal,21,Coventry City
P. Maghoma,Paris Maghoma,61,800000,"CM,CDM,CAM",CAM,England,21,AFC Wimbledon
Lee Ji Sol,Ji Sol Lee,61,700000,CB,CB,Korea Republic,22,Jeju United FC
V. Conelli,Vicente Conelli,61,775000,ST,ST,Chile,19,Unión Española
J. Noguera,Junior Noguera,61,850000,LM,LM,Paraguay,20,Club Cerro Porteño
V. Adamo,Valentín Adamo,61,800000,ST,ST,Uruguay,20,Club Atlético River Plate
Nacho Castillo,Ignacio Castillo Ameyugo,61,725000,"CAM,LM",CAM,Spain,21,CD Mirandés
J. Flores,Jordan Flores,61,375000,"CDM,CM",CAM,England,26,Bohemian FC
T. Segovia,Telasco Segovia,61,775000,"CM,CDM",RM,Venezuela,19,U.C. Sampdoria
E. Andersson,Erik Andersson,61,475000,CM,CM,Sweden,25,GIF Sundsvall
M. Damar,Muhammed Damar,61,825000,CAM,CAM,Germany,18,TSG Hoffenheim
Jang Yun Ho,Yun Ho Jang,61,400000,"CM,CDM",CM,Korea Republic,25,Jeonbuk Hyundai Motors
S. Nigro,Stefan Nigro,61,375000,"RB,LB",RWB,Australia,25,Melbourne Victory
D. Youfeigane,Dominique Youfeigane,61,650000,GK,GK,France,22,En Avant de Guingamp
S. Shamal,Steve Shamal,61,375000,"LM,ST",RW,France,26,FC Annecy
N. Tsaroulla,Nick Tsaroulla,61,475000,"LWB,LB",LWB,Cyprus,23,Crawley Town
J. Italiano,Jacob Italiano,61,725000,"LM,RM,LB",RM,Australia,20,Borussia Mönchengladbach
